IDX	Organization	OrganizationID	Repo	RepoID	LabelName	LabelID	LabelColor	LabelDescription	RUNLABEL	LabelName2
286	'IQSS'	'MDEyOk9yZ2FuaXphdGlvbjY3NTIzNw=='	'dataverse-frontend'	'R_kgDOI3pPiw'	'pm.f01-d-y01-a01-t01'	'LA_kwDOI3pPi88AAAABOy9BUA'	'1d76db'	'NIH, yr1, aim1, task1: MVP for registering metadata in the repository'	'TEST'	'pm.GREI-d-1.1.1'
287	'IQSS'	'MDEyOk9yZ2FuaXphdGlvbjY3NTIzNw=='	'dataverse-frontend'	'R_kgDOI3pPiw'	'pm.f01-d-y01-a01-t02'	'LA_kwDOI3pPi88AAAABOy9CWQ'	'1d76db'	'NIH, yr1, aim1, task2: Define a cost recovery model for large dataset support'	'TEST'	'pm.GREI-d-1.1.2'
288	'IQSS'	'MDEyOk9yZ2FuaXphdGlvbjY3NTIzNw=='	'dataverse-frontend'	'R_kgDOI3pPiw'	'pm.f01-d-y01-a02-t01'	'LA_kwDOI3pPi88AAAABOy9DlA'	'1d76db'	'NIH, yr1, aim2, task1: Design and implement integration with controlled voc'	'TEST'	'pm.GREI-d-1.2.1'
289	'IQSS'	'MDEyOk9yZ2FuaXphdGlvbjY3NTIzNw=='	'dataverse-frontend'	'R_kgDOI3pPiw'	'pm.f01-d-y01-a02-t02'	'LA_kwDOI3pPi88AAAABOy9ErA'	'1d76db'	'NIH, yr1, aim2, task2: Define use cases for DDI-CDI support'	'TEST'	'pm.GREI-d-1.2.2'
290	'IQSS'	'MDEyOk9yZ2FuaXphdGlvbjY3NTIzNw=='	'dataverse-frontend'	'R_kgDOI3pPiw'	'pm.f01-d-y01-a03-t01'	'LA_kwDOI3pPi88AAAABOy9F6w'	'1d76db'	'NIH, yr1, aim3, task1: Support software metadata'	'TEST'	'pm.GREI-d-1.3.1'
291	'IQSS'	'MDEyOk9yZ2FuaXphdGlvbjY3NTIzNw=='	'dataverse-frontend'	'R_kgDOI3pPiw'	'pm.f01-d-y01-a03-t02'	'LA_kwDOI3pPi88AAAABOy9HYg'	'1d76db'	'NIH, yr1, aim3, task2: R & D phase biomedical workflows support'	'TEST'	'pm.GREI-d-1.3.2'
292	'IQSS'	'MDEyOk9yZ2FuaXphdGlvbjY3NTIzNw=='	'dataverse-frontend'	'R_kgDOI3pPiw'	'pm.f01-d-y01-a04-t01'	'LA_kwDOI3pPi88AAAABOy9H8w'	'1d76db'	'NIH, yr1, aim4, task1: Resolve OAI-PMH harvesting issues'	'TEST'	'pm.GREI-d-1.4.1'
293	'IQSS'	'MDEyOk9yZ2FuaXphdGlvbjY3NTIzNw=='	'dataverse-frontend'	'R_kgDOI3pPiw'	'pm.f01-d-y01-a04-t02'	'LA_kwDOI3pPi88AAAABOy9JTg'	'1d76db'	'NIH, yr1, aim4, task2: Create working group on packaging standards'	'TEST'	'pm.GREI-d-1.4.2'
294	'IQSS'	'MDEyOk9yZ2FuaXphdGlvbjY3NTIzNw=='	'dataverse-frontend'	'R_kgDOI3pPiw'	'pm.f01-d-y01-a05-t01'	'LA_kwDOI3pPi88AAAABOy9KkQ'	'1d76db'	'NIH, yr1, aim5, task1: Standardize download metrics'	'TEST'	'pm.GREI-d-1.5.1'
295	'IQSS'	'MDEyOk9yZ2FuaXphdGlvbjY3NTIzNw=='	'dataverse-frontend'	'R_kgDOI3pPiw'	'pm.f01-d-y01-a05-t02'	'LA_kwDOI3pPi88AAAABOy9OXA'	'1d76db'	'NIH, yr1, aim5, task2: WG with other repositories to follow Make Data Count recommendations'	'TEST'	'pm.GREI-d-1.5.2'
